prod_cd1,prod_cd2,unit_ratio,comment
1,2,2.7,2.7 plum tomatoes on average in 1 lb
2,4,1.5,1.5 plum tomato is equivalent to 1 beef tomato
3,4,1.8,1.8 beef tomatoes in 1 lb
